Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,CCGT,4172
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,COAL,0
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTELEC,-1024
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTEW,504
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTFR,-1028
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTIFA2,-1030
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTIRL,80
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTNED,-1074
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTNEM,-994
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,INTNSL,198
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,NPSHYD,443
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,NUCLEAR,4633
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,OCGT,0
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,OIL,0
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,OTHER,122
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,PS,-1412
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,WIND,12947
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,BIOMASS,1309
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,CCGT,4162
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,COAL,0
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTELEC,-1024
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTEW,504
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTFR,-1028
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTIFA2,-1030
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTIRL,136
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTNED,-1074
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTNEM,-994
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,INTNSL,238
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,NPSHYD,442
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,NUCLEAR,4632
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,OCGT,0
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,OIL,0
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,OTHER,108
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,PS,-1426
FUELHH,2022-11-10T03:30:00Z,2022-11-10T03:00:00Z,2022-11-10,7,WIND,13322
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,BIOMASS,1385
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,CCGT,4049
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,COAL,0
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTELEC,-1024
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTEW,464
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTFR,-1028
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTIFA2,-1030
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTIRL,256
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTNED,-1072
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTNEM,-1016
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,INTNSL,610
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,NPSHYD,420
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,NUCLEAR,4641
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,OCGT,0
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,OIL,0
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,OTHER,103
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,PS,-1438
FUELHH,2022-11-10T03:00:00Z,2022-11-10T02:30:00Z,2022-11-10,6,WIND,13177
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,BIOMASS,1682
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,CCGT,3845
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,COAL,0
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTELEC,-1024
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTEW,504
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTFR,-1028
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTIFA2,-1030
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTIRL,384
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTNED,-1074
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTNEM,-1016
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,INTNSL,686
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,NPSHYD,415
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,NUCLEAR,4632
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,OCGT,0
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,OIL,0
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,OTHER,108
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,PS,-1428
FUELHH,2022-11-10T02:30:00Z,2022-11-10T02:00:00Z,2022-11-10,5,WIND,13340
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,BIOMASS,1962
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,CCGT,3814
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,COAL,0
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTELEC,-1024
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTEW,504
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTFR,-1028
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTIFA2,-1030
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTIRL,400
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTNED,-978
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTNEM,-998
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,INTNSL,1058
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,NPSHYD,413
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,NUCLEAR,4636
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,OCGT,0
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,OIL,0
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,OTHER,105
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,PS,-1444
FUELHH,2022-11-10T02:00:00Z,2022-11-10T01:30:00Z,2022-11-10,4,WIND,13341
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,BIOMASS,2216
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,CCGT,4370
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,COAL,0
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTELEC,-1024
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTEW,504
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTFR,-1028
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTIFA2,-1030
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTIRL,400
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTNED,-976
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTNEM,-996
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,INTNSL,1096
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,NPSHYD,405
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,NUCLEAR,4641
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,OCGT,0
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,OIL,0
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,OTHER,107
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,PS,-1382
FUELHH,2022-11-10T01:30:00Z,2022-11-10T01:00:00Z,2022-11-10,3,WIND,13189
FUELHH,2022-11-10T01:00:00Z,2022-11-10T00:30:00Z,2022-11-10,2,BIOMASS,2242
FUELHH,2022-11-10T01:00:00Z,2022-11-10T00:30:00Z,2022-11-10,2,CCGT,4389
FUELHH,2022-11-10T01:00:00Z,2022-11-10T00:30:00Z,2022-11-10,2,COAL,0
FUELHH,2022-11-10T01:00:00Z,2022-11-10T00:30:00Z,2022-11-10,2,INTELEC,-1024
FUELHH,2022-11-10T01:00:00Z,2022-11-10T00:30:00Z,2022-11-10,2,INTEW,504
FUELHH,2022-11-10T01:00:00Z,2022-11-10T00:30:00Z,2022-11-10,2,INTFR,-1028
